endTime,artistName,trackName,msPlayed
2020-12-16 04:19,Travis Scott,YOSEMITE,150043
2020-12-16 04:24,Migos,Culture National Anthem - Outro,283114
2020-12-16 04:26,Famous Dex,CHAMPION (feat. Diplo),120003
2020-12-16 04:30,Quavo,LOST (feat. Kid Cudi),278759
2020-12-16 04:33,Hippie Sabotage,Devil Eyes,131271
2020-12-16 04:35,Lil Nas X,Kick It,141986
2020-12-16 04:38,Quavo,SHINE,163822
2020-12-16 04:42,Beast Coast,"Snow In The Stadium (feat. Erick The Architect, Meechy Darko, Kirk Knight, CJ Fly & Issa Gold)",278386
2020-12-16 04:46,Khalid,8TEEN,228600
2020-12-16 04:48,Yung Gravy,Boomin,134431
2020-12-16 04:52,RÜFÜS DU SOL,No Place - Short Version,218000
2020-12-16 04:55,Ty Dolla $ign,South Beach (feat. Quavo & French Montana),196068
2020-12-16 04:58,21 Savage,all my friends,211785
2020-12-16 05:01,Ty Dolla $ign,Drugs (feat. Wiz Khalifa),143941
2020-12-16 05:03,BURNS,Energy (with A$AP Rocky & Sabrina Claudio) (feat. Sabrina Claudio) - Sonny Fodera Remix,109078
2020-12-17 19:52,BURNS,Energy (with A$AP Rocky & Sabrina Claudio) (feat. Sabrina Claudio) - Sonny Fodera Remix,12236
2020-12-17 19:58,Future,Drankin N Smokin,224526
2020-12-17 20:00,Jack Harlow,Way Out (feat. Big Sean),168906
2020-12-17 20:04,Machine Gun Kelly,Trap Paris (feat. Quavo & Ty Dolla $ign),203000
2020-12-17 20:08,DaBaby,Pony,7616
2020-12-17 20:08,Migos,Narcos,255378
2020-12-17 20:08,A$AP Ferg,Strive (feat. Missy Elliott),27902
2020-12-17 20:12,Future,Afterlife,6501
2020-12-17 20:12,benny blanco,Graduation (with Juice WRLD),2205
2020-12-17 20:12,Jack Harlow,Tyler Herro,20021
2020-12-17 20:12,Lil Tecca,Amigo,3343
2020-12-17 20:12,Future,Plastic,193858
2020-12-17 20:15,Lil Uzi Vert,SideLine Watching (Hold Up),191033
2020-12-17 20:16,Travis Scott,STARGAZING,2043
2020-12-17 20:16,A Boogie Wit da Hoodie,Undefeated (feat. 21 Savage),1509
2020-12-17 20:16,Asher Roth,I Love College,1578
2020-12-17 20:16,Tyga,Sip A Lil (feat. Gucci Mane),1648
2020-12-17 20:16,Blueface,Tour,3924
2020-12-17 20:16,Meek Mill,Offended (feat. Young Thug & 21 Savage),1927
2020-12-17 20:16,DaBaby,VIBEZ,1393
2020-12-17 20:16,Offset,Lick,1578
2020-12-17 20:16,NAV,Wanted You (feat. Lil Uzi Vert),26654
2020-12-17 20:17,Yung Gravy,"Gasoline, Pt. 2",69009
2020-12-18 14:04,Yung Gravy,"Gasoline, Pt. 2",3413
2020-12-18 14:07,Tee Grizzley,I Spy,186810
2020-12-18 14:10,Lil Uzi Vert,Erase Your Social,199993
2020-12-18 14:15,Future,Jet Lag (feat. Young Scooter),271066
2020-12-18 14:15,Logic,Still Ballin (feat. Wiz Khalifa),36873
2020-12-18 14:15,DaBaby,Pony,2113
2020-12-18 14:15,Blueface,Viral,2113
2020-12-18 14:15,Juice WRLD,Smile (with The Weeknd),3366
2020-12-18 14:18,Migos,Gang Gang,40867
2020-12-18 14:18,Metro Boomin,10 Freaky Girls (with 21 Savage),135325
2020-12-18 14:18,Ski Mask The Slump God,Catch Me Outside,2414
2020-12-18 14:18,Gucci Mane,Both Eyes Closed (feat. 2 Chainz and Young Dolph),1671
2020-12-18 14:18,Lil Baby,Close Friends (Lil Baby & Gunna),2786
2020-12-18 14:21,Kodak Black,Gnarly (feat. Lil Pump),186402
2020-12-18 14:22,NLE Choppa,Narrow Road (feat. Lil Baby),7368
2020-12-18 14:26,Lil Uzi Vert,444+222,4140
2020-12-18 14:26,Lil Yachty,One Night,243269
2020-12-18 14:26,DaBaby,SAD SH*T,1718
2020-12-18 14:26,Big Sean,Sacrifices,10425
2020-12-18 14:26,Travis Scott,NC-17,1764
2020-12-18 14:29,Future,Drankin N Smokin,213520
2020-12-18 14:32,Jack Harlow,Tyler Herro,1741
2020-12-18 14:32,Big Sean,Wolves (feat. Post Malone),6246
2020-12-18 14:32,Jack Harlow,Way Out (feat. Big Sean),168906
2020-12-18 14:32,NLE Choppa,Moonlight (feat. Big Sean),2739
2020-12-18 14:32,21 Savage,Glock In My Lap,4999
2020-12-18 14:33,DDG,Moonwalking in Calabasas (feat. Blueface) - Remix,4226
2020-12-18 14:35,Future,Over Your Head,2136
2020-12-18 14:35,Future,Stripes Like Burberry,134513
2020-12-18 14:38,Future,Million Dollar Play,166636
2020-12-18 14:56,Future,I Don’t Wanna Break Up,243936
2020-12-18 14:59,Future,Plastic,155183
2020-12-18 15:09,NLE Choppa,Moonlight (feat. Big Sean),1880
2020-12-18 15:09,Jack Harlow,Way Out (feat. Big Sean),25297
2020-12-18 15:09,21 Savage,Glock In My Lap,2507
2020-12-18 15:09,Jack Harlow,Tyler Herro,3993
2020-12-18 15:09,Future,Drankin N Smokin,213520
2020-12-18 15:09,Big Sean,Wolves (feat. Post Malone),2089
2020-12-18 15:10,DDG,Moonwalking in Calabasas (feat. Blueface) - Remix,1648
2020-12-18 15:10,Future,Stripes Like Burberry,2252
2020-12-18 15:28,Future,Over Your Head,87701
2020-12-18 17:07,Future,Over Your Head,5448
2020-12-18 17:10,Future,Million Dollar Play,166636
2020-12-18 17:14,Future,I Don’t Wanna Break Up,243936
2020-12-18 17:17,Quality Control,Too Hotty,2925
2020-12-18 17:17,Future,Life Is Good (feat. Drake),3529
2020-12-18 17:17,Future,Plastic,148403
2020-12-18 17:21,Future,Jet Lag (feat. Young Scooter),271066
2020-12-18 17:24,Juice WRLD,All Girls Are The Same,165819
2020-12-18 17:28,21 Savage,X (feat. Future),258880
2020-12-18 17:31,Lil Uzi Vert,Celebration Station,195058
2020-12-18 17:32,Tory Lanez,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",5526
2020-12-18 17:32,Dae Dae,Woke Up,2020
2020-12-18 17:32,Quality Control,Baby,1555
2020-12-18 17:32,Lil Baby,Woah,2043
2020-12-18 17:32,Tee Grizzley,No Effort,1880
2020-12-18 17:32,Lil Uzi Vert,Pretty Mami,2368
2020-12-18 17:32,Lil Uzi Vert,Futsal Shuffle 2020,11321
2020-12-18 17:32,916frosty,FRIDAY,1973
2020-12-18 17:36,Lil Baby,Anyway (feat. 2 Chainz & Gucci Mane),52926
2020-12-18 17:36,Future,Hard Work Pays Off,224506
2020-12-18 17:36,Kodak Black,Gnarly (feat. Lil Pump),2066
2020-12-18 17:37,Lil Uzi Vert,Canadian Goose,11145
2020-12-18 17:40,Lil Baby,Commercial (feat. Lil Uzi Vert),214214
2020-12-18 17:41,A$AP Rocky,Cocky (feat. London On Da Track),55787
2020-12-18 22:10,John Denver,We Wish You A Merry Christmas,65346
2020-12-18 22:13,John Denver,Silent Night,191080
2020-12-18 22:17,John Denver,The Christmas Wish,208986
2020-12-18 22:20,John Denver,Twelve Days Of Christmas,203138
2020-12-18 22:22,John Denver,Christmas Is Coming,1718
2020-12-18 22:22,John Denver,Christmas Is Coming,5572
2020-12-18 22:22,John Denver,Deck The Halls,1834
2020-12-18 22:22,John Denver,Deck The Halls,0
2020-12-18 22:22,John Denver,The Peace Carol,0
2020-12-18 22:22,John Denver,Little Saint Nick,1996
2020-12-18 22:22,John Denver,"Medley: Alfie, The Christmas Tree/ Carol For A Christmas Tree/It's In Every One Of Us",487
2020-12-18 22:22,John Denver,"Medley: Alfie, The Christmas Tree/ Carol For A Christmas Tree/It's In Every One Of Us",812
2020-12-18 22:22,John Denver,Little Saint Nick,78065
2020-12-18 22:23,John Denver,Christmas Is Coming,74893
2020-12-18 22:28,John Denver,"Medley: Alfie, The Christmas Tree/ Carol For A Christmas Tree/It's In Every One Of Us",276653
2020-12-18 22:29,John Denver,Deck The Halls,97280
2020-12-18 22:32,Justin Bieber,Mistletoe,182946
2020-12-18 22:35,John Denver,The Peace Carol,167120
2020-12-18 22:37,John Denver,Have Yourself A Merry Little Christmas,110906
2020-12-18 22:40,John Denver,"Noel: Christmas Eve, 1913",173853
2020-12-18 22:42,John Denver,When The River Meets The Sea,163773
2020-12-18 22:45,John Denver,A Baby Just Like You,174160
2020-12-19 00:21,Future,Drankin N Smokin,213520
2020-12-19 00:24,Smokepurpp,Dirty Dirty (feat. Lil Skies),128440
2020-12-19 00:27,Lil Tjay,F.N,835
2020-12-19 00:28,Lil Uzi Vert,Celebration Station,47508
2020-12-19 00:28,Future,Over Your Head,20665
2020-12-19 00:32,Future,Plastic,99915
2020-12-19 00:33,Future,I Don’t Wanna Break Up,90743
2020-12-19 00:37,ayokay,Kings of Summer,222644
2020-12-19 00:40,RÜFÜS DU SOL,No Place - Short Version,193713
2020-12-19 00:40,A$AP Rocky,Fashion Killa,2577
2020-12-19 00:40,Asher Roth,I Love College,3134
2020-12-19 00:44,Hippo Campus,Way It Goes,245456
2020-12-19 00:47,Tez Cadey,Seve - Radio Edit,168696
2020-12-19 00:47,Hippo Campus,Way It Goes,8800
2020-12-19 00:49,The Beatles,Across The Universe - Remastered 2009,125318
